"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
13320,1517,"48000000132",3610453,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
16777,1517,"48005075002",1183625,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
17224,1517,"48000000402",3611236,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
27037,1517,"48000000412",3612700,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13310,1517,"48009508001",1184510,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
9734,1517,"48003033005",1183199,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
28113,1517,"48000000414",3612797,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
13254,1517,"48007180001",1183984,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
6544,1517,"48000000102",3608723,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
14204,1517,"48004085001",2878621,"TX","1","CWSRF IUP/Project Priority List",01-SEP-21,01-SEP-21,"","",""
10786,5419,"48006022001",417949,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
10527,5419,"48009045001",1184491,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
7435,5419,"48003069001",1183223,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
8889,5419,"48003084001",1183235,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
7416,5419,"48005060001",1183612,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
8914,5419,"48002008001",1183111,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
9498,5419,"48001125001",1182927,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
9697,5419,"48003033002",1183197,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
12207,5419,"48008045001",1184392,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
10370,5419,"48009002001",1184466,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
10378,5419,"48001127001",1182930,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
14331,5419,"48002025002",453323,"TX","1","CWSRF IUP/Project Priority List",12-SEP-22,01-SEP-22,"","",""
