"CWNS_ID","FACILITY_ID","STATE_CODE","HUC","WATERSHED_NAME","WATERSHED_PRIMARY_FLAG"
"48001125002",1182928,"TX","12110105","Middle Nueces","Y"
"48004217001",1183470,"TX","12030103","Elm Fork Trinity","Y"
"48004094001",1227847,"TX","12030109","Chambers","Y"
"48004104001",1183410,"TX","12030107","Cedar","Y"
"48000000447",3613911,"TX","13040206","Maravillas","Y"
"48007012002",1183782,"TX","12040204","West Galveston Bay","Y"
"48007039061",1183840,"TX","12040104","Buffalo-San Jacinto","Y"
"48001123001",1182925,"TX","12110208","South Laguna Madre","Y"
"48006022001",417949,"TX","12020005","Lower Angelina","Y"
"48003084001",1183235,"TX","12060201","Middle Brazos-Palo Pinto","Y"
"48006047002",1183710,"TX","12030202","Lower Trinity-Kickapoo","Y"
"48001176002",441461,"TX","12110208","South Laguna Madre","Y"
"48006043002",1183706,"TX","12020007","Pine Island Bayou","Y"
"48007039018",1183829,"TX","12040104","Buffalo-San Jacinto","Y"
"48006009007",1183681,"TX","12040201","Sabine Lake","Y"
"48000000109",3609163,"TX","12090301","Lower Colorado-Cummins","Y"
"48007423001",1227920,"TX","12040205","Austin-Oyster","Y"
"48000000120",3609590,"TX","12040101","West Fork San Jacinto","N"
"48000000160",3610511,"TX","12070102","Yegua","Y"
"48000000164",3610518,"TX","12110208","South Laguna Madre","Y"
"48000000274",3610972,"TX","12030107","Cedar","Y"
"48000000285",3610986,"TX","11140101","Bois D'arc-Island","Y"
"48000000300",3611002,"TX","12030202","Lower Trinity-Kickapoo","Y"
"48000000311",3611013,"TX","12080005","Johnson Draw","Y"
"48000000221",3610868,"TX","12060102","Upper Clear Fork Brazos","Y"
"48000000152",3610500,"TX","12060204","North Bosque","Y"
"48000000157",3610505,"TX","11120103","Upper Prairie Dog Town Fork Red","Y"
"48000000385",3611141,"TX","12070101","Lower Brazos-Little Brazos","Y"
"48000000174",3610821,"TX","12100402","West Matagorda Bay","Y"
"48000000191",3610838,"TX","12100202","Middle Guadalupe","Y"
"48000000201",3610848,"TX","11100103","Coldwater","Y"
"48000000258",3610953,"TX","12030202","Lower Trinity-Kickapoo","Y"
"48000000263",3610961,"TX","12090102","South Concho","Y"
"48000000342",3611066,"TX","12100405","Aransas Bay","Y"
"48000000264",3610962,"TX","12030101","Upper West Fork Trinity","Y"
"48000000168",3610569,"TX","12090205","Austin-Travis Lakes","Y"
"48003032001",1183195,"TX","12060202","Middle Brazos-Lake Whitney","Y"
"48000000136",3610484,"TX","12080005","Johnson Draw","Y"
"48000000225",3610872,"TX","11140303","White Oak Bayou","Y"
"48000000206",3610853,"TX","11140301","Sulphur Headwaters","Y"
"48000000283",3610984,"TX","11130205","South Wichita","Y"
"48000000306",3611008,"TX","12090110","Brady","Y"
"48000000254",3610946,"TX","12060202","Middle Brazos-Lake Whitney","Y"
"48000000321",3611025,"TX","12030109","Chambers","Y"
"48000000328",3611032,"TX","12060201","Middle Brazos-Palo Pinto","Y"
"48000000284",3610985,"TX","12110105","Middle Nueces","Y"
"48000000286",3610987,"TX","12050002","Blackwater Draw","Y"
"48000000185",3610832,"TX","12080001","Lost Draw","Y"
"48000000141",3610489,"TX","12110110","Atascosa","Y"
"48000000290",3610992,"TX","12030202","Lower Trinity-Kickapoo","Y"
"48007080001",1183904,"TX","12040101","West Fork San Jacinto","Y"
"48007632001",1184184,"TX","12040101","West Fork San Jacinto","Y"
"48007039090",1183855,"TX","12040104","Buffalo-San Jacinto","Y"
"48007039082",1183850,"TX","12040104","Buffalo-San Jacinto","Y"
"48004122011",3514356,"TX","12030102","Lower West Fork Trinity","Y"
"48000000429",3613890,"TX","12020002","Middle Neches","Y"
"48000000470",3613952,"TX","12070201","Leon","Y"
"48000000471",3613954,"TX","12090106","Middle Colorado","Y"
"48000000479",3613963,"TX","11100103","Coldwater","Y"
"48000000496",3614056,"TX","11140101","Bois D'arc-Island","Y"
"48000000506",3614067,"TX","12090206","Pedernales","Y"
"48001097700",3542462,"TX","12100302","Medina","Y"
"48000000533",3614098,"TX","12010001","Upper Sabine","Y"
"48000000534",3614099,"TX","11090106","Middle Canadian-Spring","Y"
"48000000475",3613959,"TX","13070007","Landreth-Monument Draws","Y"
"48000000453",3613932,"TX","12100402","West Matagorda Bay","Y"
"48002036003",3340002,"TX","12110205","Baffin Bay","Y"
"48000000536",3614111,"TX","12030101","Upper West Fork Trinity","Y"
"48000000495",3614055,"TX","12070101","Lower Brazos-Little Brazos","Y"
"48000000542",3614322,"TX","12030107","Cedar","Y"
"48007039012",1183827,"TX","12040104","Buffalo-San Jacinto","Y"
"48007039084",1183851,"TX","12040204","West Galveston Bay","Y"
"48009045001",1184491,"TX","12090108","Jim Ned","Y"
"48003009001",1227803,"TX","12070204","Little","Y"
"48001127001",1182930,"TX","13080002","San Ambrosia-Santa Isabel","Y"
"48002025002",453323,"TX","13080002","San Ambrosia-Santa Isabel","Y"
"48003033016",3514807,"TX","12090301","Lower Colorado-Cummins","Y"
"48009508001",1184510,"TX","12010005","Lower Sabine","Y"
"48005076001",1227882,"TX","11140306","Caddo Lake","Y"
"48003033005",1183199,"TX","12090205","Austin-Travis Lakes","Y"
"48009003001",1184467,"TX","12090106","Middle Colorado","Y"
"48001007004",1182877,"TX","13040301","Upper Devils","Y"
"48007039113",2882180,"TX","12040104","Buffalo-San Jacinto","Y"
"48003073001",1183224,"TX","12070201","Leon","Y"
"48001243001",1183021,"TX","12100403","East San Antonio Bay","Y"
"48001114001",1227764,"TX","12110208","South Laguna Madre","Y"
"48000000240",3610923,"TX","12050006","White","Y"
"48000000262",3610959,"TX","11090106","Middle Canadian-Spring","Y"
"48000000184",3610831,"TX","11130209","Little Wichita","Y"
"48000000196",3610843,"TX","11130204","North Wichita","Y"
"48000000210",3610857,"TX","11120201","Upper Salt Fork Red","Y"
"48000000214",3610861,"TX","12110102","West Nueces","Y"
"48000000226",3610873,"TX","12030201","Lower Trinity-Tehuacana","Y"
"48000000273",3610971,"TX","12100303","Lower San Antonio","Y"
"48000000305",3611007,"TX","12110104","Turkey","Y"
"48000000242",3610925,"TX","12070201","Leon","Y"
"48000000317",3611021,"TX","11090105","Lake Meredith","Y"
"48000000320",3611024,"TX","12020005","Lower Angelina","Y"
"48000000322",3611026,"TX","12010005","Lower Sabine","Y"
"48000000266",3610964,"TX","12020003","Lower Neches","Y"
"48000000331",3611035,"TX","12050005","Running Water Draw","Y"
"48000000334",3611054,"TX","11090105","Lake Meredith","Y"
"48000000336",3611056,"TX","12010001","Upper Sabine","Y"
"48000000337",3611057,"TX","11120103","Upper Prairie Dog Town Fork Red","Y"
"48000000359",3611100,"TX","12060202","Middle Brazos-Lake Whitney","Y"
"48007646001",1184193,"TX","12040102","Spring","Y"
"48000000369",3611116,"TX","12080001","Lost Draw","Y"
"48000000391",3611147,"TX","12110208","South Laguna Madre","Y"
"48000000363",3611104,"TX","12050007","Salt Fork Brazos","Y"
"48000000144",3610492,"TX","12100302","Medina","Y"
"48000000162",3610515,"TX","12040203","North Galveston Bay","Y"
"48007039024",1183833,"TX","12040204","West Galveston Bay","Y"
"48007039043",1183838,"TX","12040104","Buffalo-San Jacinto","Y"
